iter	Logloss
0	0.6894398689
1	0.683810997
2	0.6774632454
3	0.6743497849
4	0.6705508709
5	0.6654206753
6	0.6613394737
7	0.6582339287
8	0.654962635
9	0.6518250465
10	0.6473930836
11	0.6430892944
12	0.6384799957
13	0.634748745
14	0.6319633484
15	0.6291779518
16	0.6256977558
17	0.6220739365
18	0.6205501556
19	0.6169530869
20	0.6144100666
21	0.6114052296
22	0.608066082
23	0.6057435036
24	0.6044701576
25	0.6022121429
26	0.5994854927
27	0.5962330818
28	0.5930939198
29	0.5901179314
30	0.5874251366
31	0.5846590042
32	0.5824627876
33	0.579572773
34	0.5782933712
35	0.5754001617
36	0.5728708267
37	0.5706626892
38	0.5679483891
39	0.5657133579
40	0.5636908531
41	0.5616143227
42	0.5603523254
43	0.5581251144
44	0.5556301117
45	0.5539453506
46	0.5509173393
47	0.5489977837
48	0.5473860264
49	0.5465536118
50	0.5439674377
51	0.5430767059
52	0.5403565884
53	0.5393985748
54	0.5376300812
55	0.5361807823
