iter	Passed	Remaining
0	0	27
1	0	25
2	1	24
3	1	23
4	1	22
5	2	21
6	2	21
7	2	20
8	2	18
9	3	17
10	3	17
11	3	16
12	3	16
13	4	16
14	4	15
15	4	15
16	4	14
17	5	14
18	5	14
19	5	13
20	5	13
21	6	12
22	6	12
23	6	12
24	6	11
25	7	11
26	7	11
27	7	10
28	7	10
29	8	10
30	8	10
31	8	9
32	9	9
33	9	9
34	9	8
35	9	8
36	10	8
37	10	8
38	10	7
39	10	7
40	11	7
41	11	7
42	11	6
43	12	6
44	12	6
45	12	6
46	12	5
47	13	5
48	13	5
49	13	4
50	13	4
51	14	4
52	14	4
53	14	3
54	14	3
55	15	3
56	15	2
57	15	2
58	15	2
59	15	2
60	16	1
61	16	1
62	16	1
63	16	1
64	16	0
65	17	0
66	17	0
67	17	0
